priority_tier,target_company,category,relevance,target_titles,east_coast_geo,google_xray_query,linkedin_people_search_url
1 - Direct S2P competitors,Coupa,Source-to-Pay suite,Closest competitor; same CFO/CPO buyer and deal motion,"VP Sales, RVP Sales, Area VP, Regional Sales Director, Enterprise Sales Director","NY, Boston, Atlanta, DC, Philly, Charlotte, Miami","site:linkedin.com/in (""VP Sales"" OR ""Regional Vice President"" OR ""Area Vice President"" OR ""Sales Director"") Coupa (""New York"" OR Boston OR Atlanta OR ""Washington"" OR Philadelphia OR Charlotte OR Miami)","https://www.linkedin.com/search/results/people/?keywords=Coupa%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
1 - Direct S2P competitors,Ivalua,Source-to-Pay suite,Direct Gartner MQ competitor; configurable S2P; same enterprise motion,"VP Sales, RVP, Regional VP, Enterprise Sales Director","NY, Boston, Atlanta, DC, Philly","site:linkedin.com/in (""VP Sales"" OR ""Regional Vice President"" OR ""Sales Director"") Ivalua (""New York"" OR Boston OR Atlanta OR ""Washington"" OR Philadelphia)","https://www.linkedin.com/search/results/people/?keywords=Ivalua%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
1 - Direct S2P competitors,GEP (GEP SMART),Source-to-Pay + managed services,Direct S2P competitor HQ NJ (East Coast talent pool),"VP Sales, SVP Sales, Regional VP, Client Partner","NJ, NY, Philly, Boston","site:linkedin.com/in (""VP Sales"" OR ""SVP Sales"" OR ""Regional Vice President"") GEP (""New Jersey"" OR ""New York"" OR Philadelphia OR Boston)","https://www.linkedin.com/search/results/people/?keywords=GEP%20%22VP%20Sales%22%20procurement&origin=GLOBAL_SEARCH_HEADER"
1 - Direct S2P competitors,SAP Ariba,Source-to-Pay suite,Largest S2P network; deep bench of enterprise procurement sellers,"VP Sales, RVP, Regional Sales VP, Enterprise Account Executive Director","NY, Boston, DC, Atlanta","site:linkedin.com/in (""VP Sales"" OR ""Regional Vice President"" OR ""Sales Director"") Ariba SAP (""New York"" OR Boston OR ""Washington"" OR Atlanta)","https://www.linkedin.com/search/results/people/?keywords=SAP%20Ariba%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
1 - Direct S2P competitors,Zycus,Source-to-Pay suite,Direct S2P competitor; enterprise procurement sellers,"VP Sales, Regional VP, Sales Director","NJ, NY, Boston","site:linkedin.com/in (""VP Sales"" OR ""Regional Vice President"") Zycus (""New Jersey"" OR ""New York"" OR Boston)","https://www.linkedin.com/search/results/people/?keywords=Zycus%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
2 - Spend / procurement SaaS,Zip (ziphq),Intake-to-procure / procurement orchestration,Hot procurement SaaS; aggressive enterprise GTM; CFO/CPO buyer,"VP Sales, RVP, Enterprise Sales Director","NY, Boston","site:linkedin.com/in (""VP Sales"" OR ""Regional Vice President"" OR ""Enterprise Sales Director"") Zip (procurement OR intake) (""New York"" OR Boston)","https://www.linkedin.com/search/results/people/?keywords=Zip%20procurement%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
2 - Spend / procurement SaaS,Tropic,Spend management / SaaS procurement,NYC-HQ spend-mgmt; East Coast sellers; same buyer,"VP Sales, Head of Sales, RVP","NYC","site:linkedin.com/in (""VP Sales"" OR ""Head of Sales"" OR ""Regional Vice President"") Tropic (procurement OR spend) ""New York""","https://www.linkedin.com/search/results/people/?keywords=Tropic%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
2 - Spend / procurement SaaS,Icertis,Contract lifecycle management (procurement adjacent),CLM into CPO/legal/finance; enterprise motion,"VP Sales, RVP, Regional VP","NY, Boston, DC","site:linkedin.com/in (""VP Sales"" OR ""Regional Vice President"") Icertis (""New York"" OR Boston OR ""Washington"")","https://www.linkedin.com/search/results/people/?keywords=Icertis%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
2 - Spend / procurement SaaS,Fairmarkit,Sourcing / tail-spend automation,Procurement sourcing; Boston-HQ East Coast pool,"VP Sales, Head of Sales, RVP","Boston, NY","site:linkedin.com/in (""VP Sales"" OR ""Head of Sales"") Fairmarkit (Boston OR ""New York"")","https://www.linkedin.com/search/results/people/?keywords=Fairmarkit%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
2 - Spend / procurement SaaS,Tradeshift,Procure-to-pay / supplier network,Supplier-network P2P; same CPO/CFO buyer,"VP Sales, Regional VP, Enterprise Sales Director","NY, Boston","site:linkedin.com/in (""VP Sales"" OR ""Regional Vice President"") Tradeshift (""New York"" OR Boston)","https://www.linkedin.com/search/results/people/?keywords=Tradeshift%20%22VP%20Sales%22&origin=GLOBAL_SEARCH_HEADER"
